https://litteraturbanken.se/forfattare/SoderbergH/titlar/Framlingarna/sida/III/etext,1903,Främlingarna,Söderberg Hjalmar
https://litteraturbanken.se/forfattare/BergerH/titlar/Ysail/sida/III/etext,1905,Ysaïl,Berger Henning
https://litteraturbanken.se/forfattare/FitinghoffL/titlar/BarnenIfranFrostmofjallet/sida/1/etext,1907,Barnen ifrån Frostmofjället,Fitinghoff Laura
https://litteraturbanken.se/forfattare/KampeA/titlar/Tralar/sida/1/etext,1907,Trälar,Kämpe Alfred
https://litteraturbanken.se/forfattare/StrindbergA/titlar/TaklagsolSyndabocken/sida/3/etext,1907,Taklagsöl & Syndabocken,Strindberg August
https://litteraturbanken.se/forfattare/KampeA/titlar/Konflikt/sida/1/etext,1908,Konflikt,Kämpe Alfred
https://litteraturbanken.se/forfattare/BergmanHj/titlar/Savonarola/sida/III/etext,1909,Savonarola,Bergman Hjalmar
https://litteraturbanken.se/forfattare/KampeA/titlar/Torpare/sida/3/etext,1909,Torpare,Kämpe Alfred
https://litteraturbanken.se/forfattare/SandelM/titlar/FamiljenVinge1909/sida/1/etext,1909,Familjen Vinge. En roman om verkstadsgossar och fabriksflickor,Sandel Maria
https://litteraturbanken.se/forfattare/BergmanHj/titlar/Amourer/sida/3/etext,1910,Amourer,Bergman Hjalmar
https://litteraturbanken.se/forfattare/KampeA/titlar/Vinddrivna/sida/III/etext,1911,Vinddrivna,Kämpe Alfred
https://litteraturbanken.se/forfattare/LundegardA/titlar/DenStoraDagen/sida/3/etext,1911,Den stora dagen,Lundegård Axel
https://litteraturbanken.se/forfattare/BergmanHj/titlar/ViBookarKrokarochRothar/sida/3/etext,1912,Vi Bookar, Krokar och Rothar,Bergman Hjalmar
https://litteraturbanken.se/forfattare/KampeA/titlar/Segrare/sida/3/etext,1912,Segrare,Kämpe Alfred
https://litteraturbanken.se/forfattare/KochM/titlar/Arbetare/sida/3/etext,1912,Arbetare,Koch Martin
https://litteraturbanken.se/forfattare/SoderbergH/titlar/Aftonstjarnan/sida/1/etext,1912,Aftonstjärnan,Söderberg Hjalmar
https://litteraturbanken.se/forfattare/KampeA/titlar/Fullblod/sida/1/etext,1913,Fullblod,Kämpe Alfred
